satID,Second,Data Bits Generated,Data Bits Generated
306,705,TRUE,0
401,705,TRUE,0
402,705,TRUE,0
403,705,TRUE,0
513,705,TRUE,0
514,705,TRUE,0
515,705,TRUE,0
109,706,TRUE,0
110,706,TRUE,0
111,706,TRUE,0
207,706,TRUE,0
208,706,TRUE,0
209,706,TRUE,0
303,706,TRUE,0
304,706,TRUE,0
306,706,TRUE,0
401,706,TRUE,0
402,706,TRUE,0
403,706,TRUE,0
513,706,TRUE,0
514,706,TRUE,0
515,706,TRUE,0
109,707,TRUE,0
110,707,TRUE,0
111,707,TRUE,0
207,707,TRUE,0
208,707,TRUE,0
209,707,TRUE,0
303,707,TRUE,0
304,707,TRUE,0
306,707,TRUE,0
401,707,TRUE,0
402,707,TRUE,0
403,707,TRUE,0
513,707,TRUE,0
514,707,TRUE,0
515,707,TRUE,0
109,708,TRUE,0
110,708,TRUE,214320
111,708,TRUE,214320
207,708,TRUE,214320
208,708,TRUE,214320
209,708,TRUE,0
303,708,TRUE,0
304,708,TRUE,0
306,708,TRUE,0
401,708,TRUE,0
402,708,TRUE,0
403,708,TRUE,0
513,708,TRUE,0
514,708,TRUE,0
515,708,TRUE,0
109,709,TRUE,0
110,709,TRUE,214320
111,709,TRUE,214320
207,709,TRUE,214320
208,709,TRUE,214320
209,709,TRUE,0
303,709,TRUE,0
304,709,TRUE,0
306,709,TRUE,0
401,709,TRUE,0
402,709,TRUE,0
403,709,TRUE,0
513,709,TRUE,0
514,709,TRUE,0
515,709,TRUE,0
109,710,TRUE,0
110,710,TRUE,218880
111,710,TRUE,218880
207,710,TRUE,218880
208,710,TRUE,218880
209,710,TRUE,0
303,710,TRUE,0
304,710,TRUE,0
306,710,TRUE,0
401,710,TRUE,0
402,710,TRUE,0
403,710,TRUE,0
513,710,TRUE,0
514,710,TRUE,0
515,710,TRUE,0
109,711,TRUE,0
110,711,TRUE,209760
111,711,TRUE,0
207,711,TRUE,209760
208,711,TRUE,209760
209,711,TRUE,0
303,711,TRUE,0
304,711,TRUE,0
306,711,TRUE,0
401,711,TRUE,0
402,711,TRUE,0
403,711,TRUE,0
513,711,TRUE,0
514,711,TRUE,0
515,711,TRUE,0
109,712,TRUE,0
110,712,TRUE,0
111,712,TRUE,0
207,712,TRUE,0
208,712,TRUE,0
209,712,TRUE,0
303,712,TRUE,0
304,712,TRUE,0
306,712,TRUE,0
401,712,TRUE,0
402,712,TRUE,0
403,712,TRUE,0
513,712,TRUE,0
514,712,TRUE,0
515,712,TRUE,0
109,713,TRUE,0
110,713,TRUE,205200
111,713,TRUE,0
207,713,TRUE,205200
208,713,TRUE,205200
209,713,TRUE,0
303,713,TRUE,0
304,713,TRUE,0
306,713,TRUE,0
401,713,TRUE,0
402,713,TRUE,0
403,713,TRUE,0
513,713,TRUE,0
514,713,TRUE,0
515,713,TRUE,0
109,714,TRUE,0
110,714,TRUE,205200
111,714,TRUE,0
207,714,TRUE,205200
208,714,TRUE,205200
209,714,TRUE,0
303,714,TRUE,0
304,714,TRUE,0
306,714,TRUE,0
401,714,TRUE,0
402,714,TRUE,0
403,714,TRUE,0
513,714,TRUE,0
514,714,TRUE,0
515,714,TRUE,0
109,715,TRUE,0
110,715,TRUE,214320
111,715,TRUE,214320
207,715,TRUE,77520
208,715,TRUE,214320
209,715,TRUE,0
303,715,TRUE,0
304,715,TRUE,0
306,715,TRUE,0
401,715,TRUE,0
402,715,TRUE,0
403,715,TRUE,0
513,715,TRUE,0
514,715,TRUE,0
515,715,TRUE,0
109,716,TRUE,0
110,716,TRUE,218880
111,716,TRUE,218880
207,716,TRUE,82080
208,716,TRUE,218880
209,716,TRUE,0
303,716,TRUE,0
304,716,TRUE,0
306,716,TRUE,0
401,716,TRUE,0
402,716,TRUE,0
403,716,TRUE,0
513,716,TRUE,0
514,716,TRUE,0
515,716,TRUE,0
109,717,TRUE,0
110,717,TRUE,652080
111,717,TRUE,428640
207,717,TRUE,396720
208,717,TRUE,652080
209,717,TRUE,0
303,717,TRUE,0
304,717,TRUE,0
306,717,TRUE,0
401,717,TRUE,0
402,717,TRUE,0
403,717,TRUE,0
513,717,TRUE,0
514,717,TRUE,0
515,717,TRUE,0
109,718,TRUE,0
110,718,TRUE,0
111,718,TRUE,0
207,718,TRUE,0
208,718,TRUE,0
209,718,TRUE,0
303,718,TRUE,0
304,718,TRUE,0
306,718,TRUE,0
401,718,TRUE,428640
402,718,TRUE,428640
403,718,TRUE,0
513,718,TRUE,0
514,718,TRUE,428640
515,718,TRUE,0
109,719,TRUE,9120
110,719,TRUE,205200
111,719,TRUE,0
207,719,TRUE,205200
208,719,TRUE,205200
209,719,TRUE,0
303,719,TRUE,0
304,719,TRUE,0
306,719,TRUE,0
401,719,TRUE,0
402,719,TRUE,0
403,719,TRUE,0
513,719,TRUE,0
514,719,TRUE,0
515,719,TRUE,0
109,720,TRUE,13680
110,720,TRUE,661200
111,720,TRUE,442320
207,720,TRUE,419520
208,720,TRUE,661200
209,720,TRUE,0
303,720,TRUE,0
304,720,TRUE,0
306,720,TRUE,0
401,720,TRUE,0
402,720,TRUE,0
403,720,TRUE,0
513,720,TRUE,0
514,720,TRUE,0
515,720,TRUE,0
